Issue Type,Summary,Created,Status,Components,Components,Reporter,Reporter Id,Labels,Assignee,Assignee Id,Issue key,Issue id,Custom field (Steps To Reproduce),Description
Bug,Reviewer stuck on infinite loop when uploading files in project from sdk,30/Jul/21 1:34 AM,Pending QA Testing,Project,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,DEV-10458,23037,1. add a collaborator as reviewer.2. login through sdk as reviewer.3. mypro = cnvrg.projects.get('newproject')4. mypro.put_files(['file.txt']),"env: http://app.sdkhackathon.cnvrg.io/testtest/projects/newproject/notebook_sessions/show/gbz9hva1tfdk79q1wf9yadmin user: test1@email.comreview user: test6@email.comwhen review user tries to upload file in project using put_files() ,the user recieves ""Unauthorized to perform this action."" but user is able to upload files from web ui.Also the user terminal is stuck on infinte loop."
Bug,Webapps are not getting public,30/Jul/21 1:29 AM,Pending QA Testing,WebApp,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,,,DEV-10453,23032,Steps: 1) Create an app           2) Let it go in online status           3) From iframe click on share button: type email id and click on sharePlease note: also not getting mail for shared webapps,Url:http://app.sdkhackathon.cnvrg.io/org10/projects/np/webapps/drcm1gyabp3d8xzwyyg4user: singh.inderpreet@thinkfuture.uspass:123456
Bug,"On using deleted hyper experiment's volume in a new experiment, experiment overview page is not opening.",30/Jul/21 1:29 AM,Pending QA Testing,Experiments,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,Aviv Day,6003df262b411b007688440d,DEV-10452,23031,"Precondition: 1. Hyper experiment with yearly schedule and new volume should be created.Steps:1. Navigate to Project and click on experiment.2. Delete all the hyper experiment.3. Now create a new experiment with the volume that was used in the deleted hyper experiment.4. Now Try to navigate to the overview page of the new experiment.Actual Result: On using deleted hyper experiment's volume in a new experiment, experiment overview page is not opening.Expected Result: Experiment overview page should get opened.","Url: http://app.sdkhackathon.cnvrg.io/test/projects/test28/experiments/j2vwea7aqtyuaaavtov8#overviewUsername: testcnvrg26@mailinator.comPassword: 123456Experiments name: testexp4, testexp5"
Bug,SDK/ endpoints.get_rules() not working,30/Jul/21 1:29 AM,Pending QA Testing,New SDK,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,,,DEV-10450,23029,">>> cnvrg = Cnvrg(domain='http://app.sdkhackathon.cnvrg.io/',email='test1@email.com',password='123456')>>> mypro = cnvrg.projects.get('newproject')>>> e = mypro.endpoints.get('bxinazzmwofm2vtdv1vx')>>> for i in e.get_rules():print(i)",Url:http://app.sdkhackathon.cnvrg.io/testtest/projects/newproject/endpoints/show/bxinazzmwofm2vtdv1vx#conditionsuser: test1@email.compassword: 123456
Bug,Flow: One of the Task is stuck on initialize (See the steps),30/Jul/21 1:29 AM,Pending QA Testing,Flow,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,DEV-10449,23028,1. Take two custom Task and One data task.2. Now connect Data Task to Task one only. Make sure Task 1 and Task 2 are not connected to each other.3. Run the flow and observe that Task 2 will be success but Task ! will stuck on initialize and No logs will be showing for this.,url: http://app.sdkhackathon.cnvrg.io/org02/projects/project01/experiments?query=flow%20%3D%20%27Flow%2095%27%20AND%20version%20%3D%20%27Version%205%27User: singh.priyatam@tftus.comPassword: 123456
Bug,"On comparing two experiment in the tensoarboard, ""updating experiment"" loader keeps loading.",30/Jul/21 1:29 AM,Pending QA Testing,WebApp,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,Aviv Day,6003df262b411b007688440d,DEV-10447,23026,"Precondition: Two experiment should be running.Steps:1. Navigate to project and click on experiment page.2. In the experiment index page, click on tensorboard.3. Start a tensorboard session using two experiment.4. Once the tensorboard in online, click on experiment in the tensorboard app header.5. Select both the experiment from dropdown and click on save.Actual Result: On comparing two experiment in the tensoarboard, ""updating experiment"" loader keep on loading.Expected Result: Loader should go away and experiment should get compared.",URL: http://app.sdkhackathon.cnvrg.io/test/projects/test29/webapps/gqkfya1kyfker821dt7qUsername: testcnvrg26@mailinator.comPassword: 123456
Bug,CLI-Flow: Error message is not correct if we run and existing flow having deploy task only using its YAML.,29/Jul/21 12:59 AM,Pending QA Testing,Flow,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,Itay Ariel,5b33d364c4ac74625bdc0c18,DEV-10446,23024,"1. Run a flow with deploy task and create an endpoint.2. Now take the YAML of the same flow and create another Endpoint with same yaml.3. Observe that while importing the flow, it is showing an error message like ""You do not have permission to use this template"".It should be like same title has been taken from some other ",Url: http://app.sdkhackathon.cnvrg.io/org02/projects/project01/flows/xo7yxszzexyyzrmxlvdm/flow_versions/newUser: singh.priyatam@tftus.comPassword: 123456
Bug,SDK/ endpoint.update_replicas accepting 0 value as number of pods,29/Jul/21 12:31 AM,Pending QA Testing,New SDK,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,Itay Ariel,5b33d364c4ac74625bdc0c18,DEV-10433,23011,"branch: sdkhackathon>>> e = mypro.endpoints.get('h8uxeiqnjtrrd51ztjnm')>>> e.update_replicas(0,0)",we can set 0 as the number of pods from sdk in endpoints but in web it only accepts positive integers greater than 0.env: http://app.sdkhackathon.cnvrg.io/testtest/projects/pro04/endpoints/show/h8uxeiqnjtrrd51ztjnm#configuser: test1@email.compassword: 123456
Bug,SDK/ dataset.sync_local() giving error,28/Jul/21 10:48 AM,Pending QA Testing,Datasets,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,,,DEV-10416,22991,>>> myds.clone()>>> import os>>> os.chdir(myds.slug)>>> myds.sync_local(),dataset.sync_local() not working.cnvrgp.errors.CnvrgFileError: Couldn't find config.yaml. Please clone project/dataset before syncing.env: http://app.sdkhackathon.cnvrg.io/testtest/projects/pro01/notebook_sessions/show/ecrg7zkqke57euxu9lu4user: test1@email.compassword: 123456
Bug,SDK/ dataset.download() giving error,28/Jul/21 10:48 AM,Pending QA Testing,Datasets,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,,,DEV-10415,22990,>>> myds.clone()>>> import os>>> os.chdir(myds.slug)>>> myds.download(),dataset.download() not working.FileNotFoundError: [Errno 2] No such file or directory: './.cnvrgp/cnvrgp.config'env: http://app.sdkhackathon.cnvrg.io/testtest/projects/pro01/notebook_sessions/show/ecrg7zkqke57euxu9lu4user: test1@email.compassword: 123456
Bug,SDK/ dataset.clone() not downloading files,28/Jul/21 10:48 AM,Pending QA Testing,Datasets,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,DEV-10414,22989,"1. myds = cnvrg.datsets.get('myds')
2. myds.clone()observe: empty folder is downloaded",dataset.clone only downloads dataset folder and not the files in it. env: http://app.sdkhackathon.cnvrg.io/testtest/datasets/myds email: test1@email.com password: 123456
Bug,Reviewer:Not getting any error on web when deleting or stopping any admin's job,28/Jul/21 10:48 AM,Pending QA Testing,Flow,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,,moshe rozenfeld,5e256e3aadb9030e6a42fc4f,DEV-10410,22985,"1. Login through reviewer id
2. Now try to delete or stop the admin followin jobs >Endpoint >Experiment >Flow
3.Observe it will doesn't through any error on web for above modules
4.We will get error on console when openPlease 
Note: For workspace and webapps we are getting error on web when stopping or deleting it",Url:http://app.sdkhackathon.cnvrg.io/org10/projects/permcheck/endpointsUser: rev01@gmail.comPass:123456
